discounted_price,actual_price,discount_percentage,rating,rating_count
599,895,33,4.4,61314
217,237,8,3.8,7354
1299,2990,57,3.8,180998
263,699,62,3.5,690
569,1000,43,4.4,67262
1999,4999,60,4.1,10689
1399,3990,65,4.1,141841
349,1499,77,4.3,24791
149,399,63,3.5,21764
599,999,40,4.1,192587
1220,3990,69,4.1,107151
1499,6990,79,3.9,21797
499,999,50,3.9,92995
99,999,90,4.1,8751
349,1299,73,4,14283
475,1500,68,4.2,64273
269,649,59,4.3,54315
299,599,50,4.1,1597
1599,3999,60,4,30254
1499,7999,81,4.2,22638
329,999,67,3.9,77027
549,1799,69,4.3,28829
2199,9999,78,4.2,29478
299,650,54,4.5,33176
798,1995,60,4,68664
399,1099,64,4.2,24269
266,315,16,4.5,28030
50,50,0,4.3,5792
130,165,21,3.9,14778
449,1290,65,4.1,91770
3999,16999,76,4.3,17162
399,1290,69,4.2,206
1399,2498,44,4.2,33717
199,349,43,4,43994
199,999,80,3.9,7928
2998,5999,50,4.1,5179
4098,4999,18,4.5,50810
499,1999,75,3.7,3369
299,449,33,3.5,11827
329,699,53,4.2,94364
699,999,30,3.5,15295
799,3990,80,4.3,27139
1399,5499,75,3.9,9504
154,399,61,4.2,16905
519,1350,62,4.3,30058
2299,7990,71,4.2,69619
399,1999,80,4,3382
1499,3990,62,4.1,109864
1295,1295,0,4.5,5760
1889,5499,66,4.2,49551
455,1490,69,4.1,161677
399,995,60,3.9,21372
1059,3999,74,4.3,140035
149,1000,85,3.9,24870
717,761,6,4,7199
99,999,90,4,1396
39,299,87,3.5,15233
889,2500,64,4.3,55747
1199,4999,76,3.8,14961
569,1299,56,4.4,9275
1499,8999,83,3.7,28324
149,180,17,4.4,644
399,549,27,4.4,18139
191,225,15,4.4,7203
129,999,87,4.2,491
199,599,67,4.5,13568
999,4499,78,3.8,3390
899,4499,80,3.8,103052
1799,2499,28,4.1,18678
176.63,499,65,4.1,15189
522,550,5,4.4,12179
799,1999,60,3.8,12958
681,1199,43,4.2,8258
1199,3490,66,4.1,11716
2499,4999,50,4.4,35024
1799,4999,64,4.1,55192
429,599,28,4.1,119466
100,499,80,3.5,9638
329,399,18,3.6,33735
229,299,23,4.3,30411
139,299,54,3.8,3044
1199,2499,52,4,33584
1049,2299,54,3.9,1779
119,299,60,4.1,5999
154,339,55,4.3,13391
225,250,10,4.4,26556
656,1499,56,4.3,25903
1109,2800,60,4.3,53464
2999,7990,62,4.1,48448
169,299,43,4.4,5176
309,404,24,4.4,8614
599,1399,57,3.8,60026
299,599,50,3.8,3066
449,999,55,4,2102
799,1295,38,4.4,34852
219,700,69,4.4,426972
157,160,2,4.5,8618
369,1600,77,4,32625
599,899,33,4,4018
479,599,20,4.3,11687
350,899,61,4.2,2262
1598,2990,47,3.8,11015
599,899,33,4.3,95116
159,399,60,4.1,4768
1299,3000,57,4.3,23022
1599,4999,68,4,67951
294,4999,94,4.3,4426
828,861,4,4.2,4567
745,795,6,4,13797
1549,2495,38,4.4,15137
349,399,13,4.4,18757
970,1799,46,4.5,815
1469,2499,41,4.2,156638
198,800,75,4.1,9344
549,549,0,4.5,4875
2999,9999,70,4.2,20881
12000,29999,60,4.3,4744
1299,3499,63,3.9,12452
269,315,15,4.5,17810
799,1499,47,4.1,53648
6299,13750,54,4.2,2014
59,59,0,3.8,5958
571,999,43,4.3,38221
549,999,45,3.9,64705
2099,5999,65,4.3,17129
13490,21990,39,4.3,11976
448,699,36,3.9,17348
1499,2999,50,3.7,87798
299,499,40,4.2,24432
579,1400,59,4.3,189104
2499,3299,24,4.2,93112
1199,5999,80,3.9,47521
399,499,20,4.3,27201
279,499,44,3.7,10962
13490,22900,41,4.3,16299
279,375,26,4.3,31534
2499,4999,50,3.9,7571
137,160,14,4.4,6537
59,199,70,4,9377
299,499,40,4.5,21010
1799,3999,55,3.9,3517
1999,2999,33,4.3,63899
199,699,72,4.2,12153
399,1499,73,4.1,5730
1699,3999,58,4.2,25488
699,995,30,4.5,54405
95,499,81,4.2,1949
1149,1699,32,4.2,122478
1495,1995,25,4.3,7241
849,4999,83,4,20457
440,440,0,4.5,8610
349,999,65,3.8,16557
599,3999,85,3.9,1087
149,399,63,4,1540
289,999,71,4.1,401
179,499,64,3.4,9385
1499,4999,70,4,92588
399,699,43,3.4,3454
599,799,25,4.3,15790
949,2000,53,3.9,14969
2499,9999,75,4.1,42139
159,180,12,4.3,989
1329,2900,54,4.5,19624
570,999,43,4.2,3201
899,1999,55,4.1,30469
449,999,55,4.4,9940
549,999,45,4.3,7758
1529,2399,36,4.3,68409
100,100,0,4.3,3095
299,1499,80,4.2,903
1295,1795,28,4.1,25771
699,999,30,4.1,273189
252,315,20,4.5,3785
190,220,14,4.4,2866
1299,1599,19,4.3,27223
729,1650,56,4.3,82356
480,600,20,4.3,5719
1799,6990,74,4,26880
999,2499,60,4.3,1690
299,399,25,4,2766
238,699,66,4.4,8372
1349,2198,39,4,7113
299,999,70,4.3,20850
199,499,60,3.3,2804
1999,9999,80,3.7,1986
99,499,80,4.1,2451
499,1000,50,5,23
1792,3500,49,4.5,26194
3299,4100,20,3.9,15783
125,180,31,4.4,8053
399,1190,66,4.1,2809
1199,7999,85,3.6,25910
235,1599,85,3.8,1173
549,1999,73,3.6,6422
89,99,10,4.2,241
970,1999,51,4.4,184
1299,2999,57,3.8,14629
230,999,77,4.2,1528
119,499,76,4.3,15032
449,800,44,4.4,69585
1699,3495,51,4.1,14371
561,720,22,4.4,3182
289,590,51,4.4,25886
599,1999,70,4.4,4736
5599,7350,24,4.4,73005
1990,2595,23,4.3,20398
